latitude,longitude,mean_precipitation,uncertainty_std
-88.57216851400727,142.5,2.1454541e-06,1.3233249e-06
-88.57216851400727,144.375,2.1416554e-06,1.3080402e-06
-88.57216851400727,146.25,2.1442027e-06,1.3184624e-06
-88.57216851400727,148.125,2.1294252e-06,1.3034434e-06
-88.57216851400727,150.0,2.1166763e-06,1.2939475e-06
-88.57216851400727,151.875,2.1022834e-06,1.296991e-06
-88.57216851400727,153.75,2.0937755e-06,1.2953476e-06
-88.57216851400727,155.625,2.067433e-06,1.2723309e-06
-88.57216851400727,157.5,2.046907e-06,1.2555678e-06
-88.57216851400727,159.375,2.0201628e-06,1.232674e-06
-88.57216851400727,161.25,1.993623e-06,1.2087643e-06
-88.57216851400727,163.125,1.9654692e-06,1.1917734e-06
-88.57216851400727,165.0,1.9319746e-06,1.1558589e-06
-88.57216851400727,166.875,1.8868467e-06,1.1141454e-06
-88.57216851400727,168.75,1.8591768e-06,1.092747e-06
-88.57216851400727,170.625,1.824168e-06,1.0775927e-06
-88.57216851400727,172.5,1.7964234e-06,1.0552653e-06
-88.57216851400727,174.375,1.7526202e-06,9.99996e-07
-88.57216851400727,176.25,1.719929e-06,9.805618e-07
-88.57216851400727,178.125,1.683913e-06,9.51741e-07
-88.57216851400727,180.0,1.6558561e-06,9.368268e-07
-88.57216851400727,181.875,1.6278374e-06,9.1442865e-07
-88.57216851400727,183.75,1.6027749e-06,8.965416e-07
-88.57216851400727,185.625,1.5691573e-06,8.5395806e-07
-88.57216851400727,187.5,1.5476576e-06,8.361256e-07
-88.57216851400727,189.375,1.5281844e-06,8.201079e-07
-88.57216851400727,191.25,1.5077056e-06,8.001284e-07
-88.57216851400727,193.125,1.4952026e-06,7.9299303e-07
-88.57216851400727,195.0,1.4840148e-06,7.782831e-07
-88.57216851400727,196.875,1.4663709e-06,7.6829303e-07
-88.57216851400727,198.75,1.454931e-06,7.582279e-07
-88.57216851400727,200.625,1.438295e-06,7.403859e-07
-88.57216851400727,202.5,1.4265413e-06,7.3194417e-07
-88.57216851400727,204.375,1.419253e-06,7.2260855e-07
-88.57216851400727,206.25,1.4086526e-06,7.0982554e-07
-88.57216851400727,208.125,1.4014906e-06,7.0168284e-07
-88.57216851400727,210.0,1.3962075e-06,6.964975e-07
-88.57216851400727,211.875,1.3954866e-06,6.9417484e-07
-88.57216851400727,213.75,1.3907764e-06,6.8661586e-07
-88.57216851400727,215.625,1.3856621e-06,6.7779575e-07
-88.57216851400727,217.5,1.3849063e-06,6.7399276e-07
-88.57216851400727,219.375,1.3816448e-06,6.669264e-07
-88.57216851400727,221.25,1.3776411e-06,6.603751e-07
-88.57216851400727,223.125,1.3725331e-06,6.529528e-07
-88.57216851400727,225.0,1.369245e-06,6.508932e-07
-88.57216851400727,226.875,1.3657943e-06,6.481033e-07
-88.57216851400727,228.75,1.3624958e-06,6.378588e-07
-88.57216851400727,230.625,1.3601876e-06,6.2892286e-07
-88.57216851400727,232.5,1.3613359e-06,6.330423e-07
-88.57216851400727,234.375,1.3560083e-06,6.264786e-07
-88.57216851400727,236.25,1.3523298e-06,6.24782e-07
-88.57216851400727,238.125,1.3487011e-06,6.207205e-07
-88.57216851400727,240.0,1.3493866e-06,6.18952e-07
-88.57216851400727,241.875,1.3468722e-06,6.164661e-07
-88.57216851400727,243.75,1.3458429e-06,6.1235886e-07
-88.57216851400727,245.625,1.3416701e-06,6.047159e-07
-88.57216851400727,247.5,1.3377311e-06,6.002833e-07
-88.57216851400727,249.375,1.3335157e-06,5.934795e-07
-88.57216851400727,251.25,1.331335e-06,5.909612e-07
-88.57216851400727,253.125,1.328597e-06,5.859618e-07
-88.57216851400727,255.0,1.325852e-06,5.833093e-07
-88.57216851400727,256.875,1.3224775e-06,5.780166e-07
-88.57216851400727,258.75,1.3190183e-06,5.7549886e-07
-88.57216851400727,260.625,1.3173424e-06,5.7543133e-07
-88.57216851400727,262.5,1.3119894e-06,5.7028683e-07
-88.57216851400727,264.375,1.3090835e-06,5.666263e-07
-88.57216851400727,266.25,1.3063601e-06,5.631828e-07
