latitude,longitude,mean_air_pressure,uncertainty_std
-84.86197029204237,93.75,100046.98,395.0665
-84.86197029204237,95.625,100066.18,396.5348
-84.86197029204237,97.5,100083.88,398.0495
-84.86197029204237,99.375,100097.64,399.58258
-84.86197029204237,101.25,100107.52,401.1084
-84.86197029204237,103.125,100113.52,402.6043
-84.86197029204237,105.0,100115.7,404.0432
-84.86197029204237,106.875,100114.08,405.41174
-84.86197029204237,108.75,100107.51,406.67514
-84.86197029204237,110.625,100097.35,407.8191
-84.86197029204237,112.5,100082.39,408.8159
-84.86197029204237,114.375,100062.51,409.65732
-84.86197029204237,116.25,100038.71,410.3301
-84.86197029204237,118.125,100011.7,410.8148
-84.86197029204237,120.0,99981.77,411.10373
-84.86197029204237,121.875,99947.36,411.1829
-84.86197029204237,123.75,99911.56,411.0467
-84.86197029204237,125.625,99871.42,410.6892
-84.86197029204237,127.5,99829.74,410.12332
-84.86197029204237,129.375,99786.96,409.34882
-84.86197029204237,131.25,99741.16,408.36038
-84.86197029204237,133.125,99695.61,407.17883
-84.86197029204237,135.0,99648.2,405.82013
-84.86197029204237,136.875,99601.71,404.30545
-84.86197029204237,138.75,99554.5,402.64145
-84.86197029204237,140.625,99509.34,400.8693
-84.86197029204237,142.5,99464.17,399.0162
-84.86197029204237,144.375,99420.94,397.1115
-84.86197029204237,146.25,99380.26,395.18402
-84.86197029204237,148.125,99342.49,393.27078
-84.86197029204237,150.0,99307.62,391.38986
-84.86197029204237,151.875,99275.17,389.58444
-84.86197029204237,153.75,99246.76,387.86896
-84.86197029204237,155.625,99222.18,386.25494
-84.86197029204237,157.5,99200.82,384.77463
-84.86197029204237,159.375,99183.1,383.40454
-84.86197029204237,161.25,99169.04,382.51593
-84.86197029204237,163.125,99154.74,382.42975
-84.86197029204237,165.0,99139.21,382.99588
-84.86197029204237,166.875,99121.26,384.18912
-84.86197029204237,168.75,99100.26,386.94168
-84.86197029204237,170.625,99077.3,389.01877
-84.86197029204237,172.5,99054.24,389.29193
-84.86197029204237,174.375,99035.82,389.1355
-84.86197029204237,176.25,99021.26,388.32532
-84.86197029204237,178.125,99011.35,387.5942
-84.86197029204237,180.0,99003.2,386.9815
-84.86197029204237,181.875,98998.74,386.47058
-84.86197029204237,183.75,98995.74,386.04703
-84.86197029204237,185.625,98994.32,385.68054
-84.86197029204237,187.5,98992.94,385.36548
-84.86197029204237,189.375,98992.27,385.09647
-84.86197029204237,191.25,98992.5,384.86035
-84.86197029204237,193.125,98991.85,384.63565
-84.86197029204237,195.0,98991.78,384.4113
-84.86197029204237,196.875,98992.86,384.195
-84.86197029204237,198.75,98992.18,383.93976
-84.86197029204237,200.625,98993.58,383.67896
-84.86197029204237,202.5,98994.63,383.37515
-84.86197029204237,204.375,98997.03,383.02917
-84.86197029204237,206.25,99001.37,382.6442
-84.86197029204237,208.125,99005.86,382.18152
-84.86197029204237,210.0,99011.59,381.65506
-84.86197029204237,211.875,99018.73,381.05252
-84.86197029204237,213.75,99029.17,380.37836
-84.86197029204237,215.625,99040.2,379.59662
-84.86197029204237,217.5,99053.73,378.71716
-84.86197029204237,219.375,99068.58,377.7362
-84.86197029204237,221.25,99087.16,376.64105
-84.86197029204237,223.125,99109.07,375.44916
-84.86197029204237,225.0,99133.75,374.05167
-84.86197029204237,226.875,99160.66,372.45636
-84.86197029204237,228.75,99191.6,370.63425
